"selection1_name","selection1_selection2","selection1_selection3"
"Sati Savitri","",""
"Suvarna Sundari","Vedantam Raghavaiah","Akkineni Nageshwara Rao, Anjali Devi, C. S. R. Anjaneyulu, Rajanala, Rajasulochana, Relangi Venkata Ramaiah"
"Swayamprabha","",""
"Thodi Kodallu","Adurthi Subba Rao","Savithri, Akkineni Nageshwara Rao, S. V. Ranga Rao, Relangi Venkata Ramaiah, Suryakantham, Jaggayya"
"Vadhante Dabbu","",""
"Varadu Kaavali","P. S. Ramakrishna Rao","Bhanumati, Jaggayya, Devika"
"Veera Kankanam","",""
"Vinayaka Chavithi","Samudrala Raghavacharya","N. T. Rama Rao, Savithri, S. V. Ranga Rao, Krishna Kumari, Gummadi, Rajanala"
"Aada Pethanam","",""
"Anna-Thammudu","Banner: Sri Rajeswari
Direction:C.S. Rao
Music:Aswathama
Dialogues:Pinisetti
Lyrics:Daita Gopalam, Kosaraju, Ravooru, Samudrala jr. B.V.N. Acharya
Release:15-02-1958","N.T. Ramarao, Janaki, Rajasulochana, Jagayya, Mukkamala, Relangi, Malati, Girija, Mikkilineni, Padmanabham, Ravi Kondalaravu, Boddapati"
"Appu Chesi Pappu Koodu","L. V. Prasad","N. T. Rama Rao, Jaggayya, Savithri, Relangi Venkata Ramaiah, CSR, Jamuna, S. V. Ranga Rao"
"Atta Okinti Kodale","Banner: Anupama
Direction: K.B Tilak
Music: Pendyala
Story/Dialogues: Pinisetti
Lyrics: Arudra
Release:10-10-1958","Jaggayya, Girija, Ramana Murthy, Devika, Ramana Reddy, Hemalatamma Rao(Hemalata)"
"Bhookailash","",""
"Bhooloka Rambha","",""
"Bommala Pelli","Banner: Aruna Films
Direction:R.M. Krishnaswamy
Music: K.V. Mahadevan & Pugalendi
Story & Dialogues: Atreya
Lyrics:Atreya & SriSri
Release: 11-01-1958
Tamil: Bommai Kalyanam – 03-05-1958","Sivaji Ganesan, Jamuna, Mynavathi, Chittor V. Nagaiah, S. V. Ranga Rao, P. Santha Kumari, Rushyendramani, Suryakantam, etc."
"Chenchu Lakshmi","B. A. Subba Rao","Akkineni Nageshwara Rao, Anjali Devi, S. V. Ranga Rao, Relangi Venkata Ramaiah, Balaji, Nagabhushanam, Rushyendramani, Gummadi"
"Dongalunnaru Jagratta","",""
"Ethuku Paiethu","",""
"Ganga Gowri Samvadham","",""
"Inti Guttu","",""
"Karthavarayuni Katha","Banner: R.R. Pictures
Direction: T. R. Ramanna
Music: G. Ramanathan & Aswathama
Story & Dialogues: Maddipatla Suri
Lyrics: Devulapalli
Release:18-10-1958
Tamil:Kaathavaraayan","NT Ramarao, Savitri, Girija, Kannamba, Mukkamala, Ramana Reddy, Padmanabham, Balakrishna"
"Kaathavaraayan","",""
"Manchi Manasuku Manchi Rojulu","",""
"Mundhadugu","",""
"Parvati Kalyanam","",""
"Padhi Bhakti","",""
"Pellinati Pramanalu","Kadiri Venkata Reddy","Akkineni Nageshwara Rao, Jamuna Ramanarao, Rajasulochana, S. V. Ranga Rao"
"Rajanandini","",""
"Shoba","",""
"Sri Krishna Garadi","",""
"Sri Krishna Maya","",""
"Sri Ramanjaneya Yuddham","",""
"Karpukkarasi","",""
"Uthama Puthiran","",""
"Vanjikottai Valiban","",""
"Aalu Mogalu","",""
"Bala Nagamma","Chittajalu Pullayya","Kanchanamala, Govindrajulu Subba Rao, Relangi Venkata Ramaiah"
"Banda Ramudu","",""
"Bhagya Devata","",""
"Bhakta Ambarisha","",""
"Daiva Bhalam","",""
"Illarikam","T. Prakash Rao","Akkineni Nageshwara Rao, Jamuna, Gummadi, Relangi Venkata Ramaiah, Ramana Reddy, C. S. R. Anjaneyulu"
"Jayabheri","P. Pullaiah","Akkineni Nageshwara Rao, Anjali Devi, S. V. Ranga Rao, Chittor V. Nagaiah"
"Jaya-Vijaya","",""
"Krishna Leelalu","Chandrasekhara Rao Jampana","Lakshmirajyam, S. V. Ranga Rao, Sriranjani, Suryakantham, Relangi Venkata Ramaiah, Gummadi, Padmanabham, Allu Ramalingaiah"
"Kuthuru Kapuram","",""
"Maa Inti Mahalakshmi","",""
"Mangalya Balam","Adurthi Subba Rao","Akkineni Nageshwara Rao, Savithri, S. V. Ranga Rao, Relangi Venkata Ramaiah, Kannamba, Rajasulochana, Suryakantham, Ramana Reddy"
"Manorama","",""
"Pelli Meedha Pelli","",""
"Pelli Sandadi","Yoganand","Akkineni Nageshwara Rao, Anjali Devi, Chalam, Saroja Devi B, Ramana Redd"
"Rajamalayasimha","",""
"Rechukka Pagatichukka","Kamalakara Kameshwara Rao","N. T. Rama Rao, Showkar Janaki"
"Sati Sukanya","",""
"Sati Tulasi","",""
"Shabash Ramudu","C. S. R. Rao","N. T. Rama Rao, Devika, Gummadi"
"Sipayi Kuthuru","",""
"Vachina Kodalu Nachindhi","",""
"Veera Bhaskarudu","",""
"September 2019","",""
"Learn how and when to remove this template message","",""
"Annapurna","V. Madhusudan Rao",""
"Sri Krishna Rayabaram","",""
"Seetarama Kalyanam","",""
"Gulebakavali Katha","N. T. Rama Rao",""
"Gundamma Katha","","N.T.R, A.N.R"
"Mahamantri Timmarusu","","N.T.R, Gummadi"
"Nartanasala","","N.T.R"
"Lakshadhikaari","","N.T.R"
"Bhakta Ramadasu","","A.N.R"
"Haranadh","",""
"Taene Manasulu","","Krishna"
"Pandava Vanavasam","","N.T.R"
"Mangamma Sapatham","B.Vittalacharya","N.T.R"
"Atma Gouravvam","",""
"Gudachari 116","","Krishna"
"Shri Krishna Pandaviyam","","N.T.R"
"Chilaka Gorinka","","Krishnam Raju"
"Aame Evaru?","Kongara Jaggaiah, Jayalalitha",""
"Ave Kallu","","Krishna"
"Thene Manasulu","",""
"Sri Krishnavataram","","N.T.R"
"Pula Rangadu","","A.N.R"
"Nenante Nene","","Krishna"
"Varakatnam","N. T. Rama Rao","N. T. Rama Rao, Krishna Kumari, Savitri"
"Sampurna Ramayanam","","Shoban Babu"
"BhaleAbhayilu","",""
"BhaleMaster","",""
"Buddimantudu","",""
"Manushulu Marali","V. Madhusudan Rao","Shoban Babu"
